Kraj;Sprzedawca;Data zamowienia;idZamowienia;Utarg
Niemcy;Peacock;08.11.2003;10347;814.42
Niemcy;Peacock;15.11.2003;10348;363.60
Polska;King;15.11.2003;10349;141.60
Polska;Sowiński;03.12.2003;10350;642.06
Niemcy;Davolio;20.11.2003;10351;5398.72
Niemcy;Leverling;18.11.2003;10352;136.30
Polska;King;25.11.2003;10353;8593.28
Niemcy;Callahan;20.11.2003;10354;568.80
Polska;Sowiński;20.11.2003;10355;480.00
Polska;Sowiński;27.11.2003;10356;1106.40
Niemcy;Davolio;02.12.2003;10357;1167.68
Polska;Kowalski;27.11.2003;10358;429.40
Polska;Kowalski;26.11.2003;10359;3471.68
Niemcy;Peacock;02.12.2003;10360;7390.20
Niemcy;Davolio;03.12.2003;10361;2046.24
Niemcy;Leverling;28.11.2003;10362;1549.60
Niemcy;Peacock;04.12.2003;10363;447.20
Niemcy;Davolio;04.12.2003;10364;950.00
Niemcy;Leverling;02.12.2003;10365;403.20
Niemcy;Callahan;30.12.2003;10366;136.00
Polska;King;02.12.2003;10367;834.20
Niemcy;Fuller;02.12.2003;10368;1689.78
Niemcy;Callahan;09.12.2003;10369;2390.40
Polska;Sowiński;27.12.2003;10370;1117.60
Niemcy;Davolio;24.12.2003;10371;72.96
Polska;Kowalski;09.12.2003;10372;9210.90
Niemcy;Peacock;11.12.2003;10373;1366.40
Niemcy;Davolio;09.12.2003;10374;459.00
Niemcy;Leverling;09.12.2003;10375;338.00
Niemcy;Davolio;13.12.2003;10376;399.00
Niemcy;Davolio;13.12.2003;10377;863.60
Polska;Kowalski;19.12.2003;10378;103.20
Niemcy;Fuller;13.12.2003;10379;863.28
Niemcy;Callahan;16.01.2004;10380;1313.82
Niemcy;Leverling;13.12.2003;10381;112.00
Niemcy;Peacock;16.12.2003;10382;2900.00
Niemcy;Callahan;18.12.2003;10383;899.00
Niemcy;Leverling;20.12.2003;10384;2222.40
Niemcy;Davolio;23.12.2003;10385;691.20
Polska;Dudek;25.12.2003;10386;166.00
Niemcy;Davolio;20.12.2003;10387;1058.40
Niemcy;Fuller;20.12.2003;10388;1228.80
Niemcy;Peacock;24.12.2003;10389;1832.80
Polska;Sowiński;26.12.2003;10390;2090.88
Niemcy;Leverling;31.12.2003;10391;86.40
Niemcy;Fuller;01.01.2004;10392;1440.00
Niemcy;Davolio;03.01.2004;10393;2556.95
Niemcy;Davolio;03.01.2004;10394;442.00
Polska;Sowiński;03.01.2004;10395;2122.92
Niemcy;Davolio;06.01.2004;10396;1903.80
Polska;Kowalski;02.01.2004;10397;716.72
Niemcy;Fuller;09.01.2004;10398;2505.60
Niemcy;Callahan;08.01.2004;10399;1765.60
Niemcy;Davolio;16.01.2004;10400;3063.00
Niemcy;Davolio;10.01.2004;10401;3868.60
Niemcy;Callahan;10.01.2004;10402;2713.50
Niemcy;Peacock;09.01.2004;10403;855.01
Niemcy;Fuller;08.01.2004;10404;1591.25
Niemcy;Davolio;22.01.2004;10405;400.00
Polska;King;13.01.2004;10406;1830.78
Niemcy;Fuller;30.01.2004;10407;1194.00
Niemcy;Callahan;14.01.2004;10408;1622.40
Niemcy;Leverling;14.01.2004;10409;319.20
Niemcy;Leverling;15.01.2004;10410;802.00
Polska;Dudek;21.01.2004;10411;966.80
Niemcy;Callahan;15.01.2004;10412;334.80
Niemcy;Leverling;16.01.2004;10413;2123.20
Niemcy;Fuller;17.01.2004;10414;224.83
Niemcy;Leverling;24.01.2004;10415;102.40
Niemcy;Callahan;27.01.2004;10416;720.00
Niemcy;Peacock;28.01.2004;10417;11188.40
Niemcy;Peacock;24.01.2004;10418;1814.80
Niemcy;Peacock;30.01.2004;10419;2097.60
Niemcy;Leverling;27.01.2004;10420;1707.84
Niemcy;Callahan;27.01.2004;10421;1194.27
Niemcy;Fuller;31.01.2004;10422;49.80
Polska;Sowiński;24.02.2004;10423;1020.00
Polska;King;27.01.2004;10424;9194.56
Polska;Sowiński;14.02.2004;10425;360.00
Niemcy;Peacock;06.02.2004;10426;338.20
Niemcy;Peacock;03.03.2004;10427;651.00
Polska;King;04.02.2004;10428;192.00
Niemcy;Leverling;07.02.2004;10429;1441.37
Niemcy;Peacock;03.02.2004;10430;4899.20
Niemcy;Peacock;07.02.2004;10431;1892.25
Niemcy;Leverling;07.02.2004;10432;485.00
Niemcy;Leverling;04.03.2004;10433;851.20
Niemcy;Leverling;13.02.2004;10434;321.12
Niemcy;Callahan;07.02.2004;10435;631.60
Niemcy;Leverling;11.02.2004;10436;1994.52
Niemcy;Callahan;12.02.2004;10437;393.00
Niemcy;Leverling;14.02.2004;10438;454.00
Polska;Sowiński;10.02.2004;10439;1078.00
Niemcy;Peacock;28.02.2004;10440;4924.13
Niemcy;Leverling;14.03.2004;10441;1755.00
Niemcy;Leverling;18.02.2004;10442;1792.00
Niemcy;Callahan;14.02.2004;10443;517.44
Niemcy;Leverling;21.02.2004;10444;1031.70
Niemcy;Leverling;20.02.2004;10445;174.90
Polska;Sowiński;19.02.2004;10446;246.24
Niemcy;Peacock;07.03.2004;10447;914.40
Niemcy;Peacock;24.02.2004;10448;443.40
Niemcy;Leverling;27.02.2004;10449;1838.20
Niemcy;Callahan;11.03.2004;10450;425.12
Niemcy;Peacock;12.03.2004;10451;3849.66
Niemcy;Callahan;26.02.2004;10452;2018.50
Niemcy;Davolio;26.02.2004;10453;407.70
Niemcy;Peacock;25.02.2004;10454;331.20
Niemcy;Callahan;03.03.2004;10455;2684.00
Niemcy;Callahan;28.02.2004;10456;557.60
Niemcy;Fuller;03.03.2004;10457;1584.00
Polska;King;04.03.2004;10458;3891.00
Niemcy;Peacock;28.02.2004;10459;1659.20
Niemcy;Callahan;03.03.2004;10460;176.10
Niemcy;Davolio;05.03.2004;10461;1538.70
Niemcy;Fuller;18.03.2004;10462;156.00
Polska;Kowalski;06.03.2004;10463;713.30
Niemcy;Peacock;14.03.2004;10464;1609.28
Niemcy;Davolio;14.03.2004;10465;2518.00
Niemcy;Peacock;13.03.2004;10466;216.00
Niemcy;Callahan;11.03.2004;10467;235.20
Niemcy;Leverling;12.03.2004;10468;717.60
Niemcy;Davolio;14.03.2004;10469;956.67
Niemcy;Peacock;14.03.2004;10470;1820.80
Niemcy;Fuller;18.03.2004;10471;1328.00
Niemcy;Callahan;19.03.2004;10472;1036.80
Niemcy;Davolio;21.03.2004;10473;230.40
Polska;Kowalski;21.03.2004;10474;1249.10
Polska;Dudek;04.04.2004;10475;1505.18
Niemcy;Callahan;24.03.2004;10476;180.48
Polska;Kowalski;25.03.2004;10477;558.00
Niemcy;Fuller;26.03.2004;10478;471.20
Niemcy;Leverling;21.03.2004;10479;10495.60
Polska;Sowiński;24.03.2004;10480;756.00
Niemcy;Callahan;25.03.2004;10481;1472.00
Niemcy;Davolio;10.04.2004;10482;147.00
Polska;King;25.04.2004;10483;668.80
Niemcy;Leverling;01.04.2004;10484;386.20
Niemcy;Peacock;31.03.2004;10485;1584.00
Niemcy;Davolio;02.04.2004;10486;1272.00
Niemcy;Fuller;28.03.2004;10487;889.70
Niemcy;Callahan;02.04.2004;10488;1512.00
Polska;Sowiński;09.04.2004;10489;439.20
Polska;King;03.04.2004;10490;3163.20
Niemcy;Callahan;08.04.2004;10491;259.50
Niemcy;Leverling;11.04.2004;10492;851.20
Niemcy;Peacock;10.04.2004;10493;608.40
Niemcy;Peacock;09.04.2004;10494;912.00
Niemcy;Leverling;11.04.2004;10495;278.00
Polska;King;07.04.2004;10496;190.00
Polska;King;07.04.2004;10497;1380.60
Niemcy;Callahan;11.04.2004;10498;575.00
Niemcy;Peacock;16.04.2004;10499;1412.00
Polska;Sowiński;17.04.2004;10500;523.26
Polska;Dudek;16.04.2004;10501;149.00
Niemcy;Fuller;29.04.2004;10502;816.30
Polska;Sowiński;16.04.2004;10503;2048.50
Niemcy;Peacock;18.04.2004;10504;1388.50
Niemcy;Leverling;21.04.2004;10505;147.90
Polska;Dudek;02.05.2004;10506;415.80
Polska;King;22.04.2004;10507;749.06
Niemcy;Davolio;13.05.2004;10508;240.00
Niemcy;Peacock;29.04.2004;10509;136.80
Polska;Sowiński;28.04.2004;10510;4707.54
Niemcy;Peacock;21.04.2004;10511;2550.00
Polska;King;24.04.2004;10512;525.30
Polska;King;28.04.2004;10513;1942.00
Niemcy;Leverling;16.05.2004;10514;8623.45
Niemcy;Fuller;23.05.2004;10515;9921.30
Niemcy;Fuller;01.05.2004;10516;2381.05
Niemcy;Leverling;29.04.2004;10517;352.00
Niemcy;Peacock;05.05.2004;10518;4150.05
Polska;Sowiński;01.05.2004;10519;2314.20
Polska;King;01.05.2004;10520;200.00
Niemcy;Callahan;02.05.2004;10521;225.50
Niemcy;Peacock;06.05.2004;10522;2318.24
Polska;King;30.05.2004;10523;2444.31
Niemcy;Davolio;07.05.2004;10524;3192.65
Niemcy;Davolio;23.05.2004;10525;818.40
Niemcy;Peacock;15.05.2004;10526;1151.40
Polska;King;07.05.2004;10527;1503.00
Polska;Sowiński;09.05.2004;10528;392.20
Polska;Kowalski;09.05.2004;10529;946.00
Niemcy;Leverling;12.05.2004;10530;4180.00
Polska;King;19.05.2004;10531;110.00
Polska;King;12.05.2004;10532;796.35
Niemcy;Callahan;22.05.2004;10533;2222.20
Niemcy;Callahan;14.05.2004;10534;465.70
Niemcy;Peacock;21.05.2004;10535;1940.85
Niemcy;Leverling;06.06.2004;10536;1645.00
Niemcy;Davolio;19.05.2004;10537;1823.80
Polska;Dudek;16.05.2004;10538;139.80
Polska;Sowiński;23.05.2004;10539;355.50
Niemcy;Leverling;13.06.2004;10540;10191.70
Niemcy;Fuller;29.05.2004;10541;1946.52
Niemcy;Davolio;26.05.2004;10542;469.11
Niemcy;Callahan;23.05.2004;10543;1504.50
Niemcy;Peacock;30.05.2004;10544;417.20
Niemcy;Callahan;26.06.2004;10545;210.00
Niemcy;Davolio;27.05.2004;10546;2812.00
Niemcy;Leverling;02.06.2004;10547;1792.80
Niemcy;Leverling;02.06.2004;10548;240.10
Polska;Kowalski;30.05.2004;10549;3554.27
Polska;King;06.06.2004;10550;683.30
Niemcy;Peacock;06.06.2004;10551;1677.30
Niemcy;Fuller;05.06.2004;10552;880.50
Niemcy;Fuller;03.06.2004;10553;1546.30
Niemcy;Peacock;05.06.2004;10554;1728.52
Polska;Sowiński;04.06.2004;10555;2944.40
Niemcy;Fuller;13.06.2004;10556;835.20
Polska;Dudek;06.06.2004;10557;1152.50
Niemcy;Davolio;10.06.2004;10558;2142.90
Polska;Sowiński;13.06.2004;10559;520.41
Niemcy;Callahan;09.06.2004;10560;1072.42
Niemcy;Fuller;09.06.2004;10561;2844.50
Niemcy;Davolio;12.06.2004;10562;488.70
Niemcy;Fuller;24.06.2004;10563;965.00
Niemcy;Peacock;16.06.2004;10564;1234.05
Niemcy;Callahan;18.06.2004;10565;639.90
Polska;Dudek;18.06.2004;10566;1761.00
Niemcy;Davolio;17.06.2004;10567;2519.00
Niemcy;Leverling;09.07.2004;10568;155.00
Polska;Kowalski;11.07.2004;10569;890.00
Niemcy;Leverling;19.06.2004;10570;2465.25
Niemcy;Callahan;04.07.2004;10571;550.59
Niemcy;Leverling;25.06.2004;10572;1501.08
Polska;King;20.06.2004;10573;2082.00
Niemcy;Peacock;30.06.2004;10574;764.30
Polska;Kowalski;30.06.2004;10575;2147.40
Niemcy;Leverling;30.06.2004;10576;838.45
Polska;Dudek;30.06.2004;10577;569.00
Niemcy;Peacock;25.07.2004;10578;477.00
Niemcy;Davolio;04.07.2004;10579;317.75
Niemcy;Peacock;01.07.2004;10580;1013.74
Niemcy;Leverling;02.07.2004;10581;310.00
Niemcy;Leverling;14.07.2004;10582;330.00
Niemcy;Fuller;04.07.2004;10583;2237.50
Niemcy;Peacock;04.07.2004;10584;593.75
Polska;King;10.07.2004;10585;142.50
Polska;Dudek;09.07.2004;10586;23.80
Niemcy;Davolio;09.07.2004;10587;807.38
Niemcy;Fuller;10.07.2004;10588;3120.00
Niemcy;Callahan;14.07.2004;10589;72.00
Niemcy;Peacock;14.07.2004;10590;1101.00
Niemcy;Davolio;16.07.2004;10591;812.50
Niemcy;Leverling;16.07.2004;10592;516.46
Polska;King;13.08.2004;10593;1994.40
Niemcy;Leverling;16.07.2004;10594;565.50
Niemcy;Fuller;14.07.2004;10595;4725.00
Niemcy;Callahan;12.08.2004;10596;1180.88
Polska;King;18.07.2004;10597;718.08
Niemcy;Davolio;18.07.2004;10598;2388.50
Polska;Sowiński;21.07.2004;10599;493.00
Niemcy;Peacock;21.07.2004;10600;479.80
Polska;King;22.07.2004;10601;2285.00
Niemcy;Callahan;22.07.2004;10602;48.75
Niemcy;Callahan;08.08.2004;10603;1483.00
Niemcy;Davolio;29.07.2004;10604;230.85
Niemcy;Davolio;29.07.2004;10605;4109.69
Niemcy;Peacock;31.07.2004;10606;1130.40
Polska;Kowalski;25.07.2004;10607;6475.40
Niemcy;Peacock;01.08.2004;10608;1064.00
Polska;King;30.07.2004;10609;424.00
Niemcy;Callahan;06.08.2004;10610;299.25
Polska;Sowiński;01.08.2004;10611;808.00
Niemcy;Davolio;01.08.2004;10612;6375.00
Niemcy;Peacock;01.08.2004;10613;353.20
Niemcy;Callahan;01.08.2004;10614;464.00
Niemcy;Fuller;06.08.2004;10615;120.00
Niemcy;Davolio;05.08.2004;10616;4806.99
Niemcy;Peacock;04.08.2004;10617;1402.50
Niemcy;Davolio;08.08.2004;10618;2697.50
Niemcy;Leverling;07.08.2004;10619;1260.00
Niemcy;Fuller;14.08.2004;10620;57.50
Niemcy;Peacock;11.08.2004;10621;758.50
Niemcy;Peacock;11.08.2004;10622;560.00
Niemcy;Callahan;12.08.2004;10623;1336.95
Niemcy;Peacock;19.08.2004;10624;1393.24
Niemcy;Leverling;14.08.2004;10625;479.75
Niemcy;Davolio;20.08.2004;10626;1503.60
Niemcy;Callahan;21.08.2004;10627;1185.75
Niemcy;Peacock;20.08.2004;10628;450.00
Niemcy;Peacock;20.08.2004;10629;2775.05
Niemcy;Davolio;19.08.2004;10630;903.60
Niemcy;Callahan;15.08.2004;10631;55.80
Niemcy;Callahan;19.08.2004;10632;589.00
Polska;King;18.08.2004;10633;5510.59
Niemcy;Peacock;21.08.2004;10634;4985.50
Niemcy;Callahan;21.08.2004;10635;1326.22
Niemcy;Peacock;26.08.2004;10636;629.50
Polska;Sowiński;26.08.2004;10637;2761.94
Niemcy;Leverling;01.09.2004;10638;2720.05
Polska;King;27.08.2004;10639;500.00
Niemcy;Peacock;28.08.2004;10640;708.75
Niemcy;Peacock;26.08.2004;10641;2054.00
Polska;King;05.09.2004;10642;696.00
Polska;Sowiński;02.09.2004;10643;814.50
Niemcy;Leverling;01.09.2004;10644;1371.80
Niemcy;Peacock;02.09.2004;10645;1535.00
Polska;Dudek;03.09.2004;10646;1446.00
Niemcy;Peacock;03.09.2004;10647;636.00
Polska;Kowalski;09.09.2004;10648;372.37
Polska;Kowalski;29.08.2004;10649;1434.00
Polska;Kowalski;03.09.2004;10650;1779.20
Niemcy;Callahan;11.09.2004;10651;397.80
Niemcy;Peacock;08.09.2004;10652;318.84
Niemcy;Davolio;19.09.2004;10653;1083.15
Polska;Kowalski;11.09.2004;10654;601.83
Niemcy;Davolio;11.09.2004;10655;154.40
Polska;Sowiński;10.09.2004;10656;604.21
Niemcy;Fuller;15.09.2004;10657;4371.60
Niemcy;Peacock;08.09.2004;10658;4464.60
Polska;King;10.09.2004;10659;1227.02
Niemcy;Callahan;15.10.2004;10660;1701.00
Polska;King;15.09.2004;10661;562.60
Niemcy;Leverling;18.09.2004;10662;125.00
Niemcy;Fuller;03.10.2004;10663;1930.40
Niemcy;Davolio;19.09.2004;10664;1288.39
Niemcy;Davolio;17.09.2004;10665;1295.00
Polska;King;22.09.2004;10666;4666.94
Polska;King;19.09.2004;10667;1536.80
Niemcy;Davolio;23.09.2004;10668;625.27
Niemcy;Fuller;22.09.2004;10669;570.00
Niemcy;Peacock;18.09.2004;10670;2301.75
Niemcy;Davolio;24.09.2004;10671;920.10
Polska;Dudek;26.09.2004;10672;3815.25
Niemcy;Fuller;19.09.2004;10673;412.35
Niemcy;Peacock;30.09.2004;10674;45.00
Polska;Kowalski;23.09.2004;10675;1423.00
Niemcy;Fuller;29.09.2004;10676;534.85
Niemcy;Davolio;26.09.2004;10677;813.36
Polska;King;16.10.2004;10678;5256.50
Niemcy;Callahan;30.09.2004;10679;660.00
Niemcy;Davolio;26.09.2004;10680;1261.88
Niemcy;Leverling;30.09.2004;10681;1287.40
Niemcy;Leverling;01.10.2004;10682;375.50
Niemcy;Fuller;01.10.2004;10683;63.00
Niemcy;Leverling;30.09.2004;10684;1768.00
Niemcy;Peacock;03.10.2004;10685;801.10
Niemcy;Fuller;08.10.2004;10686;1404.45
Polska;Dudek;30.10.2004;10687;4960.90
Niemcy;Peacock;07.10.2004;10688;3160.60
Niemcy;Davolio;07.10.2004;10689;472.50
Niemcy;Davolio;03.10.2004;10690;862.50
Niemcy;Fuller;22.10.2004;10691;10164.80
Niemcy;Peacock;13.10.2004;10692;878.00
Niemcy;Leverling;10.10.2004;10693;2071.20
Niemcy;Callahan;09.10.2004;10694;4825.00
Polska;King;14.10.2004;10695;642.00
Niemcy;Callahan;14.10.2004;10696;996.00
Niemcy;Leverling;14.10.2004;10697;805.43
Niemcy;Peacock;17.10.2004;10698;3436.45
Niemcy;Leverling;13.10.2004;10699;114.00
Niemcy;Leverling;16.10.2004;10700;1638.40
Polska;Sowiński;15.10.2004;10701;2864.50
Niemcy;Peacock;21.10.2004;10702;330.00
Polska;Sowiński;20.10.2004;10703;2545.00
Polska;Sowiński;07.11.2004;10704;595.50
Polska;Dudek;18.11.2004;10705;378.00
Niemcy;Callahan;21.10.2004;10706;1893.00
Niemcy;Peacock;23.10.2004;10707;1641.00
Polska;Sowiński;05.11.2004;10708;180.40
Niemcy;Davolio;20.11.2004;10709;3424.00
Niemcy;Davolio;23.10.2004;10710;93.50
Polska;Kowalski;29.10.2004;10711;4451.70
Niemcy;Leverling;31.10.2004;10712;1233.48
Niemcy;Davolio;24.10.2004;10713;2827.90
Polska;Kowalski;27.10.2004;10714;2205.75
Niemcy;Leverling;29.10.2004;10715;1296.00
Niemcy;Peacock;27.10.2004;10716;706.00
Niemcy;Davolio;29.10.2004;10717;1270.75
Niemcy;Davolio;29.10.2004;10718;3463.00
Niemcy;Callahan;05.11.2004;10719;844.25
Niemcy;Callahan;05.11.2004;10720;550.00
Polska;Kowalski;31.10.2004;10721;923.87
Niemcy;Callahan;04.11.2004;10722;1570.00
Niemcy;Leverling;25.11.2004;10723;468.45
Niemcy;Callahan;05.11.2004;10724;638.50
Niemcy;Peacock;05.11.2004;10725;287.80
Niemcy;Peacock;05.12.2004;10726;655.00
Niemcy;Fuller;05.12.2004;10727;1624.50
Niemcy;Peacock;11.11.2004;10728;1296.75
Niemcy;Callahan;14.11.2004;10729;1850.00
Polska;Kowalski;14.11.2004;10730;484.25
Polska;King;14.11.2004;10731;1890.50
Niemcy;Leverling;07.11.2004;10732;360.00
Niemcy;Davolio;10.11.2004;10733;1459.00
Niemcy;Fuller;12.11.2004;10734;1498.35
Polska;Sowiński;21.11.2004;10735;536.40
Polska;Dudek;21.11.2004;10736;997.00
Niemcy;Fuller;18.11.2004;10737;139.80
Niemcy;Fuller;18.11.2004;10738;52.35
Niemcy;Leverling;17.11.2004;10739;240.00
Niemcy;Peacock;25.11.2004;10740;1416.00
Niemcy;Peacock;18.11.2004;10741;228.00
Niemcy;Leverling;18.11.2004;10742;3118.00
Niemcy;Davolio;21.11.2004;10743;319.20
Polska;Sowiński;24.11.2004;10744;736.00
Polska;Dudek;27.11.2004;10745;4529.80
Niemcy;Davolio;21.11.2004;10746;2311.70
Polska;Sowiński;26.11.2004;10747;1912.85
Niemcy;Leverling;28.11.2004;10748;2196.00
Niemcy;Peacock;19.12.2004;10749;1080.00
Polska;Dudek;24.11.2004;10750;1590.56
Niemcy;Leverling;03.12.2004;10751;1631.48
Niemcy;Fuller;28.11.2004;10752;252.00
Niemcy;Leverling;27.11.2004;10753;88.00
Polska;Sowiński;27.11.2004;10754;55.20
Niemcy;Peacock;28.11.2004;10755;1948.50
Niemcy;Callahan;02.12.2004;10756;1990.00
Polska;Sowiński;15.12.2004;10757;3082.00
Niemcy;Leverling;04.12.2004;10758;1644.60
Niemcy;Leverling;12.12.2004;10759;320.00
Niemcy;Peacock;10.12.2004;10760;2917.00
Polska;Kowalski;08.12.2004;10761;507.00
Niemcy;Leverling;09.12.2004;10762;4337.00
Niemcy;Leverling;08.12.2004;10763;616.00
Polska;Sowiński;08.12.2004;10764;2286.00
Niemcy;Leverling;09.12.2004;10765;1515.60
Niemcy;Peacock;09.12.2004;10766;2310.00
Niemcy;Peacock;15.12.2004;10767;28.00
Niemcy;Leverling;15.12.2004;10768;1477.00
Niemcy;Leverling;12.12.2004;10769;1684.27
Niemcy;Callahan;17.12.2004;10770;236.25
Polska;Dudek;02.01.2004;10771;344.00
Niemcy;Leverling;19.12.2004;10772;3603.22
Niemcy;Davolio;16.12.2004;10773;2030.40
Niemcy;Peacock;12.12.2004;10774;868.75
Polska;King;26.12.2004;10775;228.00
Niemcy;Davolio;18.12.2004;10776;6635.27
Polska;King;21.01.2005;10777;224.00
Niemcy;Leverling;24.12.2004;10778;96.50
Niemcy;Leverling;14.01.2005;10779;1335.00
Niemcy;Fuller;25.12.2004;10780;720.00
Niemcy;Fuller;19.12.2004;10781;975.88
Polska;Dudek;22.12.2004;10782;13.50
Niemcy;Peacock;19.12.2004;10783;1442.50
Niemcy;Peacock;22.12.2004;10784;1488.00
Niemcy;Davolio;24.12.2004;10785;387.50
Niemcy;Callahan;23.12.2004;10786;1531.08
Niemcy;Fuller;26.12.2004;10787;2622.76
Niemcy;Davolio;19.01.2005;10788;731.50
Niemcy;Davolio;31.12.2004;10789;3687.00
Polska;Sowiński;26.12.2004;10790;722.50
Polska;Sowiński;01.01.2005;10791;1829.76
Niemcy;Davolio;31.12.2004;10792;399.85
Niemcy;Leverling;08.01.2005;10793;191.10
Polska;Sowiński;02.01.2005;10794;314.76
Niemcy;Callahan;20.01.2005;10795;2158.00
Niemcy;Leverling;14.01.2005;10796;2341.36
Polska;King;05.01.2005;10797;420.00
Niemcy;Fuller;05.01.2005;10798;446.60
Polska;Dudek;05.01.2005;10799;1553.50
Niemcy;Davolio;05.01.2005;10800;1468.93
Niemcy;Peacock;31.12.2004;10801;3026.85
Niemcy;Peacock;02.01.2005;10802;2942.81
Niemcy;Peacock;06.01.2005;10803;1193.01
Polska;Sowiński;07.01.2005;10804;2278.40
Niemcy;Fuller;09.01.2005;10805;2775.00
Niemcy;Leverling;05.01.2005;10806;439.60
Niemcy;Peacock;30.01.2005;10807;18.40
